No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts,
VFO-A,Digital CH,,145.32500,145.32500,High,180S,No,2,12.5K,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,radio-1,0,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
VFO-B,Digital CH,,410.32500,410.32500,High,180S,No,2,2.5K,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,radio-2,0,No,Normal Mode,1,No,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,80,TX Contact,
1,Analog CH,VHF Simplex,146.52000,146.52000,High,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
2,Analog CH,UHF Simplex,446.00000,446.00000,High,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
3,Analog CH,VHF Low,145.11500,144.51500,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
4,Analog CH,VHF Mid,145.13000,144.53000,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
5,Analog CH,VHF Narrow,145.14500,144.54500,High,75S,No,1,Yes,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
6,Analog CH,VHF - > T,145.16000,144.56000,High,75S,No,1,Yes,No,No,25K,None,62.5,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
7,Analog CH,VHF T > -,145.16000,144.56000,High,75S,No,1,Yes,No,No,25K,254.1,None,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
8,Analog CH,VHF T > T,145.16000,144.56000,High,75S,No,1,Yes,No,No,25K,77.0,123.0,Allow TX,No,Simplex,Slot1,radio-1,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: ALLCALL,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
