"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode"
"1","Pwr Small","440.00000","440.00000","A-Analog","Low","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"2","Pwr Low","440.00000","440.00000","A-Analog","Mid","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"3","Pwr Mid","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"4","Pwr High","440.00000","440.00000","A-Analog","Turbo","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"5","BsyLck Repeater","440.00000","440.00000","A-Analog","Turbo","25K","Off","Off","Group Call 55","Group Call","55","Default","Repeater","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"6","BsyLck Busy","440.00000","440.00000","A-Analog","Turbo","25K","Off","Off","Group Call 55","Group Call","55","Default","Busy","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"7","BW 12K5","440.00000","440.00000","A-Analog","High","12.5K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"8","BW 25K","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"9","ScanList A","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","Scan List A","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
"10","APRS Report On","440.00000","440.00000","A-Analog","High","25K","Off","Off","Group Call 55","Group Call","55","Default","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off"
