"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Send Talker Alias","ARC4","ex_emg_kind"
"1","ABQ Local","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","ABQ Local","Group Call","713","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","ABQ Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"2","ABQ New Mexico","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","RMHAM New Mexico","Group Call","505","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","ABQ Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"3","ABQ Rk Mtn","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM New Mexico","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"4","ABQ South","442.90000","447.90000","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM New Mexico","ABQ Local","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"5","Akron North","448.17500","443.17500","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM North","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"6","Akron Rk Mtn","448.17500","443.17500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM North","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"7","Almagre Rk Mtn","446.95000","441.95000","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM South","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"8","Almagre South","446.95000","441.95000","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM South","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"9","Badger Central","446.76250","441.76250","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"10","Badger Rk Mtn","446.76250","441.76250","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","100","100","0","0","0","0"
