"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency",,"B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","RMHAM North","Akron Rk Mtn|Akron North|Boulder Rk Mtn|Boulder North|Buckhorn RkyMtn|Buckhorn North|CSU Local|CSU North|Ft Morgan Rk Mtn|Ft Morgan North|Holyoke RkMtn|Holyoke North|Sterling RkMtn|Sterling North","448.17500|448.17500|446.98750|446.98750|445.20000|445.20000|446.76250|446.76250|448.20000|448.20000|445.16250|445.16250|445.10000|445.10000","443.17500|443.17500|441.98750|441.98750|440.20000|440.20000|441.76250|441.76250|443.20000|443.20000|440.16250|440.16250|440.10000|440.10000","Akron Rk Mtn","448.17500","443.17500","Akron North","448.17500","443.17500","0"
"2","RMHAM Central","Badger Central|Badger Rk Mtn|Breck Central|Breck Rk Mtn|Burlington RkMtn|Burlington Cntrl|Grnd Jnctn Cntrl|Grnd Jnctn RkMtn|Leadville Centra|Leadville Rk Mtn|Limon RkMtn|Limon Central|Limon B North|Limon B South|Lookout Central|Lookout Local|Montrose Central|Montrose Rk Mtn|Rangely Central|Rangely Rk Mtn|Squaw Central|Squaw Rk Mtn|Thorodin Central|Thorodin Rk Mtn|Vail Central|Vail Rk Mtn|Westcreek Centra|Westcreek Rk Mtn","446.76250|446.76250|445.08750|445.08750|445.05000|445.05000|445.05000|445.05000|445.05000|445.05000|445.27500|445.27500|446.73750|446.73750|446.83750|446.83750|445.07500|445.07500|445.26250|445.26250|446.93750|446.93750|446.80000|446.80000|445.07500|445.07500|446.87500|446.87500","441.76250|441.76250|440.08750|440.08750|440.05000|440.05000|440.05000|440.05000|440.05000|440.05000|441.27500|441.25700|441.73750|441.73750|441.83750|441.83750|440.07500|440.07500|440.26250|440.26250|441.93750|441.93750|441.80000|441.80000|440.07500|440.07500|441.87500|441.87500","Burlington RkMtn","445.05000","440.05000","Badger Central","446.76250","441.76250","0"
"3","RMHAM Eastern","Almagre V RkMtn|Almagre V East|Boulder LH Local|Boulder LH East|Lookout V RkMtn|Lookout V East|Squaw V RkMtn|Squaw V East|Buckhorn V RkMtn|Buckhorn V East","145.23500|145.23500|445.05000|445.05000|145.37000|145.37000|145.17500|145.17500|145.35500|145.35500","144.63500|144.63500|440.05000|440.05000|144.77000|144.77000|144.57500|144.57500|144.75500|144.75500","Boulder LH Local","445.05000","440.05000","ABQ Local","442.90000","447.90000","0"
"4","RMHAM South","Almagre Rk Mtn|Almagre South|Canon Rk Mtn|Canon South|Chey Mtn Rky Mtn|Chey Mtn South|Devils Local|Devils South|Karval RkMtn|Karval South|Pueblo Rk Mtn|Pueblo South|PuebloCdr RkMtn|PuebloCdr South|Salida Rk Mtn|Salida South","446.95000|446.95000|446.73750|446.73750|445.06250|445.06250|446.92500|446.92500|445.12500|445.12500|446.98750|446.98750|446.96250|446.96250|446.81250|446.81250","441.95000|441.95000|441.73750|441.73750|440.06250|440.06250|441.92500|441.92500|440.12500|440.12500|441.98750|441.98750|441.96250|441.96250|441.81250|441.81250","Almagre Rk Mtn","446.95000","441.95000","ABQ Local","442.90000","447.90000","0"
"5","RMHAMFourCorners","Durango Rk Mtn|Durango South|Durango NM|Durango 4Corners|Farmington RkMtn|Farmington South|Farmington NM|Farmington 4Cor|Mission Rk Mtn|Mission South|Mission NM|Mission 4Corners","446.73750|446.73750|446.73750|446.73750|440.30000|440.30000|440.30000|440.30000|445.13750|445.13750|445.13750|445.13750","441.73750|441.73750|441.73750|441.73750|445.30000|445.30000|445.30000|445.30000|440.13750|440.13750|440.13750|440.13750","Durango Rk Mtn","446.73750","441.73750","ABQ Local","442.90000","447.90000","0"
"6","RMHAM NewMexico","ABQ New Mexico|ABQ South|ABQ Rk Mtn|ABQ Local|Farmington RkMtn|Farmington South|Farmington NM|Farmington 4Cor|Los Alamos RkMtn|Los Alamos South|Los Alamos NMex|Los Alamos Local|Taos Rocky Mtn|Taos South|Taos New Mexico|Taos Local","442.90000|442.90000|442.90000|442.90000|440.30000|440.30000|440.30000|440.30000|442.22500|442.22500|442.22500|442.22500|442.17500|442.17500|442.17500|442.17500","447.90000|447.90000|447.90000|447.90000|445.30000|445.30000|445.30000|445.30000|447.22500|447.22500|447.22500|447.22500|447.17500|447.17500|447.17500|447.17500","ABQ Rk Mtn","442.90000","447.90000","ABQ Local","442.90000","447.90000","0"
"7","Portable Rptrs","438.225 91.5|447.225 103.5|449.075 141.3|449.100 141.3|447.300 BZZ Rptr|448.325 K0PWO3|448.325 K0PWO4|Trailer Rk Mtn|Trailer North|Trailer Central|Trailer South","438.22500|447.22500|449.07500|449.10000|447.30000|448.32500|448.32500|438.22500|438.22500|438.22500|438.22500","433.22500|442.22500|444.07500|444.10000|442.30000|443.32500|443.32500|433.22500|433.22500|433.22500|433.22500","449.100 141.3","449.10000","444.10000","ABQ Local","442.90000","447.90000","0"
"8","CCARC Hotspot","CCARC Hotspot 1|CCARC Hotspot 2|CCARC Hotspot 3|CCARC Hotspot 4|CCARC Hotspot 5|CCARC Hotspot 6|CCARC Hotspot 7|CCARC Hotspot 8|CCARC Hotspot 9|CCARC Hotspot 10","438.45000|438.47500|438.50000|438.52500|438.55000|438.57500|438.60000|438.62500|438.65000|438.67500","438.45000|438.47500|438.50000|438.52500|438.55000|438.57500|438.60000|438.62500|438.65000|438.67500","CCARC Hotspot 3","438.50000","438.50000","ABQ Local","442.90000","447.90000","0"
"9","BM Other 1","W0TX WorldWide|W0TX USA|W0TX Mtn West|W0TK Colorado|W0TX T310|W0TX Parrot|W0TX TS1 Unlink|W0TX Local","446.78750|446.78750|446.78750|446.78750|446.78750|446.78750|446.78750|446.78750","441.78750|441.78750|441.78750|441.78750|441.78750|441.78750|441.78750|441.78750","W0TX WorldWide","446.78750","441.78750","W0TX USA","446.78750","441.78750","0"
"10","BM Other 2","SlvrH WorldWide|SlvrH USA|SlvrH Mtn West|SlvrH Colorado|SlvrH Parrot|SlvrH T310|SlvrH TS1 Unlink|SlvrH ARESDEC","446.82500|446.82500|446.82500|446.82500|446.82500|446.82500|446.82500|446.82500","441.82500|441.82500|441.82500|441.82500|441.82500|441.82500|441.82500|441.82500","SlvrH WorldWide","446.82500","441.82500","ABQ Local","442.90000","447.90000","0"
